epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8887,1.44725,1.87015,1.62347,0.5236,0.53722,0.53244,0.28643,1.40062,1.06804,1.51151,0.0703488,0.00329457,0.00329457
2,72.8646,1.32134,1.10799,1.43385,0.57985,0.64951,0.616,0.32719,1.40705,0.96706,1.47568,0.0402832,0.00656229,0.00656229
3,98.0714,1.31465,1.04777,1.42482,0.58505,0.58159,0.56533,0.29426,1.51787,1.12931,1.57629,0.0101516,0.00976401,0.00976401
4,122.364,1.35469,1.07384,1.46021,0.64901,0.55935,0.59037,0.29463,1.57542,1.21996,1.64779,0.009703,0.009703,0.009703
5,146.778,1.37622,1.06034,1.46695,0.6187,0.63584,0.65112,0.32663,1.52731,1.04655,1.58454,0.009604,0.009604,0.009604
6,171.445,1.38372,1.05695,1.47885,0.6011,0.62408,0.61746,0.31144,1.52927,1.06076,1.63394,0.009505,0.009505,0.009505
7,195.722,1.35896,1.03961,1.47838,0.59826,0.65507,0.64277,0.32287,1.553,1.0418,1.63214,0.009406,0.009406,0.009406
8,220.176,1.34896,1.01605,1.46091,0.64511,0.638,0.64429,0.33605,1.48004,1.0018,1.57927,0.009307,0.009307,0.009307
9,247.342,1.33142,0.99479,1.4551,0.62565,0.6436,0.65291,0.34182,1.47934,0.98685,1.57318,0.009208,0.009208,0.009208
10,272.278,1.32978,0.99018,1.4535,0.59412,0.66761,0.63654,0.33586,1.47246,0.97723,1.55987,0.009109,0.009109,0.009109
11,296.737,1.33052,0.9609,1.44707,0.66583,0.67999,0.6733,0.35441,1.44969,0.9634,1.52693,0.00901,0.00901,0.00901
12,321.707,1.31632,0.94623,1.4359,0.61983,0.64921,0.65009,0.337,1.48948,0.96599,1.55774,0.008911,0.008911,0.008911
13,346.422,1.31411,0.9381,1.43802,0.64103,0.6896,0.66478,0.34232,1.48487,0.93384,1.56617,0.008812,0.008812,0.008812
14,371.423,1.28644,0.89192,1.41524,0.62421,0.66332,0.65317,0.34424,1.47774,0.94714,1.54475,0.008713,0.008713,0.008713
15,396.658,1.28112,0.89215,1.42116,0.67163,0.67735,0.67879,0.35277,1.48473,0.91632,1.57008,0.008614,0.008614,0.008614
16,421.943,1.27952,0.89047,1.42357,0.6429,0.7076,0.69709,0.36955,1.44807,0.89667,1.52027,0.008515,0.008515,0.008515
17,447.458,1.26575,0.88141,1.3985,0.68172,0.69224,0.6926,0.36392,1.45603,0.89158,1.52336,0.008416,0.008416,0.008416
18,472.589,1.26513,0.87452,1.41908,0.69404,0.673,0.68867,0.36154,1.47563,0.90141,1.56018,0.008317,0.008317,0.008317
